Algorithm, Operating principle, Classification, Reference
by Galas et al.,Enumeration,Word-based,Galas et al. 1985
by Mengeritsky and Smith,Enumeration,Word-based,Mengeritsky and Smith 1987
by Staden,Enumeration,Word-based,Staden 1989
EM,Expectation maximization,PSM a),Lawrence and Reilly 1990
WordUP,Enumeration,Word-based,Pesole et al. 1992
Gibbs sampler,Gibbs sampling,PSM,Lawrence et al. 1993
MACAW,Gibbs sampling,PSM,Liu 1994
:doc:`MEME <meme>`,Expectation maximization,PSM,`Bailey and Elkan 1995 <http://link.springer.com/article/10.1007%2FBF00993379>`_
AlignACE_,Gibbs sampling,PSM,Roth et al. 1998
Oligo-Analysis,Enumeration,Word-based,`van Helden et al. 1998 <http://dx.doi.org/10.1006/jmbi.1998.1947>`_
Consensus,Greedy,PSM,Hertz and Stormo 1999
Dyad-Analysis,Enumeration,Word-based,van Helden et al. 2000
WINNOWER,Graph,Other,Pevzner and Sze 2000
ANN-Spec,Gibbs sampling,PSM,Workman and Stormo 2000
SMILE,Suffix tree,Word-based,Marsan and Sagot 2000
Verbumculus,Suffix tree,Word-based,Apostolico et al. 2000
MobyDick,Dictionary,Word-based,Bussemaker et al. 2000
YMF,Enumeration,Word-based,Sinha and Tompa 2000
Bioprospector,Gibbs sampling,PSM,Liu et al. 2001
Co-Bind,Gibbs sampling,PSM,GuhaThakurta and Stormo 2001
ITB,Enumeration,Word-based,Kielbasa et al. 2001
Weeder,Enumeration,Word-based,Pavesi et al. 2001
MotifSampler,Gibbs sampling,PSM,Thijs et al. 2001
MITRA,Prefix tree/Graph,Word-based,Eskin and Pevzner 2002
MDscan_,Greedy,Other,[Liu et al. 2002](http://www.ncbi.nlm.nih.gov/pubmed/12101404)
Projection,Hashing,Other,Buhler and Tompa 2002
Footprinter,Dynamic programming,Other,Blanchette and Tompa 2002
MOPAC,Enumeration,Word-based,Ganesh et al. 2003
DMotif,Enumeration,Word-based,Sinha 2003
PhyloCon,Consensus,PF b),Wang and Stormo 2003
LOGOS,Expectation maximization,PSM,Xing et al. 2004
EC,Genetic algorithm,Other,Fogel et al. 2004
GLAM,Gibbs sampling,PSM,Frith et al. 2004
Improbizer,Expectation maximization,PSM,Ao et al. 2004
QuickScore,Consensus,PSM,Regnier and Denise 2004
SeSiMCMC,Gibbs sampling,PSM,Favorov et al. 2004
PhyME,Expectation maximization,PSM,Sinha et al. 2004
OrthoMEME,Expectation maximization,PSM,Prakash et al. 2004
FMGA,Genetic algorithm,Other,Liu et al. 2004
PHYLONET,Sequence alignment,PF,Wang and Stormo 2005
PhyloGibbs,Gibbs sampling,PSM,Siddharthan et al. 2005
GIMF,Expectation maximization,PSM,Qi et al. 2005
WordSpy,Dictionary,Word-based,Wang et al. 2005
MaMF,Enumeration,Word-based,Hon and Jain 2006
EMD,Clustering-based ensemble,Other,Hu et al. 2006
GibbsST,Gibbs sampling,PSM,Shida 2006
MUSA,Biclustering,Other,Mendes et al. 2006
GAME,Genetic algorithm,Other,Wei and Jensen 2006
ALSE,Expectation maximization,PSM,Leung and Chin 2006
MotifSeeker,Data fusion and ranking,Other,Peng et al. 2006
PhyloScan,Scanning,PF,Carmack et al. 2007
-,-,-,-
SCOPE_,,,`Chakravarty et al. 2007 <http://www.biomedcentral.com/pubmed/17626633>`_
Trawler,,,`Ettwiller et al. 2007 <http://www.ncbi.nlm.nih.gov/pubmed/17589518>`_
Amadeus,,,`Linhart et al. 2008 <http://www.ncbi.nlm.nih.gov/pubmed/18411406>`_
GADEM_,Genetic and EM,,`Li 2009 <http://www.ncbi.nlm.nih.gov/pubmed/19193149>`_
CisFinder,,,`Sharov and Ko 2009 <http://www.ncbi.nlm.nih.gov/pubmed/19740934>`_
cERMIT,,,`Georgiev et al. 2010 <http://www.ncbi.nlm.nih.gov/pubmed/20156354>`_
ChIPMunk,,,`Kulakovskiy et al. 2010 <http://www.ncbi.nlm.nih.gov/pubmed/20736340>`_
Homer,,,`Heinz et al. 2010 <http://www.ncbi.nlm.nih.gov/pubmed/20513432>`_
HMS,Gibbs and greedy,,`Hu et al. 2010 <http://www.ncbi.nlm.nih.gov/pubmed/20056654>`_
peak-motifs,,,`Thomas-Chollier at al. 2011 <http://www.ncbi.nlm.nih.gov/pubmed/22156162>`_
``DREME``,,Word-based,`Bailey 2011 <http://www.ncbi.nlm.nih.gov/pubmed/21543442>`_
``MEME-ChIP``,EM,,`Machanick and Bailey 2011 <http://www.ncbi.nlm.nih.gov/pubmed/21486936>`_
STEME,EM,,`Reid and Wernisch 2011 <http://www.ncbi.nlm.nih.gov/pubmed/21785132>`_
XXmotif,,,`Luehr et al. 2012 <http://dx.doi.org/10.1093/nar/gks602>`_
MotifCatcher,,,`Seitzer et al. 2012 <http://dx.doi.org/10.1186/1471-2105-13-317>`_
LR/ALR,,,`Simcha et al. 2012`_
POSMO,,,`Ma et al. 2012 <http://www.ncbi.nlm.nih.gov/pubmed/22228832>`_
GEM,,,`Guo et al. 2012 <http://www.ncbi.nlm.nih.gov/pubmed/22912568>`_
Dimont,,,`Grau et al. 2013 <http://dx.doi.org/10.1093/nar/gkt831>`_
PscanChIP,,,`Zambelli et al. 2013 NAR <http://www.ncbi.nlm.nih.gov/pubmed/23748563>`_
