Symbol|Meaning|Unicode
﹖⃝|Help|U+003F & U+20DD
←⇠|Left arrow|U+2190 U+21E0
↑⇡|Up arrow|U+2191 U+21E1
→⇢|Right arrow|U+2192 U+21E2
↓⇣|Down arrow|U+2193 U+21E3
↖⇱↸|Home|U+2196 U+21F1 U+21B8
↘⇲|End|U+2198 U+21F2
↩⏎|Return|U+21A9 U+23CE
⇞|Pageup|U+21DE
⇟|Pagedown|U+21DF
⇤|Tab back|U+21E4
⇥|Tab forward|U+21E5
⇧|Shift|U+21E7
⇪|Capslock|U+21EA
⇭|Numberlock|U+21ED
⌃|Control|U+2303
⌘|Command (Open Apple) 2|U+2318
⌤|Enter|U+2324
⌥|Option (Alt, Alternative)|U+2325
⌦|Delete forward|U+2326
⌧|Clear|U+2327
⌫|Delete back|U+232B
⌽|Power|U+233D
⎋|Escape|U+238B
⏏|Eject|U+23CF
␣|Space|U+2423
|Apple symbol 1|U+F8FF
